Day,Close
1,100.67
2,99.26
3,97.53
4,97.07
5,97.35
6,98.97
7,98.4
8,98.16
9,96.78
10,96.53
11,94.93
12,95.61
13,96.91
14,97.03
15,97.02
16,97.45
17,99.34
18,99.33
19,100.9
20,99.23
21,99.72
22,99.61
23,101.02
24,101.09
25,99.24
26,99.32
27,97.77
28,99.23
29,98.98
30,97.84
31,97.23
32,98.7
33,100.24
34,99.83
35,100.84
36,99.99
37,98.8
38,100.45
39,98.61
40,98.77
41,97.31
42,98.32
43,99.49
44,98.41
45,98.44
46,98.91
47,99.21
48,98.38
49,99.08
50,98.9
51,97.39
52,97.98
53,96.09
54,95.08
55,96.08
56,95.59
57,96.27
58,97.25
59,96.8
60,97.63
61,99.49
62,99.99
63,100.28
64,98.67
65,99.39
66,101.3
67,100.46
68,100.08
69,98.91
70,98.23
71,98.68
72,97.56
73,98.71
74,99.03
75,99.65
76,99.83
77,100.1
78,99.21
79,97.49
80,96.51
81,95.47
82,95.36
83,95.68
84,96.53
85,94.58
86,92.71
87,91.2
88,90.46
89,91.48
90,89.61
91,91.05
92,91.55
93,92.23
94,92.45
95,91.0
96,90.8
97,89.41
98,88.69
99,90.56
100,92.17
101,90.73
102,90.93
103,89.18
104,91.06
105,90.83
106,91.81
107,90.74
108,91.08
109,92.71
110,91.7
111,93.29
112,92.9
113,92.13
114,91.39
115,90.13
116,91.34
117,91.97
118,91.71
119,91.85
120,93.67
121,93.01
122,92.61
123,91.39
124,92.88
125,92.46
126,93.92
127,92.41
128,92.61
129,92.25
130,92.51
131,92.56
132,94.27
133,93.81
134,93.64
135,93.97
136,95.64
137,96.54
138,97.34
139,99.25
140,97.45
141,98.73
142,97.61
143,96.51
144,95.84
145,95.04
146,96.4
147,95.95
148,94.06
149,94.93
150,95.5
151,95.52
152,94.07
153,96.0
154,94.45
155,94.66
156,92.95
157,93.3
158,91.34
159,93.28
160,94.09
161,95.89
162,97.12
163,98.66
164,100.53
165,100.33
166,101.31
167,99.52
168,97.86
169,97.95
170,98.73
171,99.75
172,101.33
173,100.13
174,99.19
175,99.81
176,101.29
177,101.15
178,101.91
179,102.62
180,103.99
181,102.57
182,101.7
183,102.15
184,102.13
185,103.68
186,103.84
187,101.89
188,102.57
189,104.45
190,104.16
191,104.08
192,102.92
193,104.22
194,105.31
195,105.4
196,105.63
197,103.72
198,103.55
199,103.78
200,104.67
